,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,-8.67361737988404e-19,0.0204869405136157,0,0,3.46944695195361e-18,0,0,0.044762964608263,0,0,0,0,0.0637757688737485,0,0,0,0.322494294171675,0,0,-0.0347968903525847,0,0.0278494430299488,0,0,0,0,-0.0013239781967121,0.00772507866574515,0.0103423200614735,0.0318460713096418
X1398.HK.EQUITY,0,0,0,0,0,0.414436688519915,0,0,0,0,0,0,0.0742014417439936,0,0,0.340456369593151,0,0,0,0,0,0,0.0459952562621811,0,0,0,0,0.000905416926985654,-0.000349325625028276,0,0.0124131293263196
X601318.CH.EQUITY,0,0.0304400156842881,0,0.148375511005389,0,0,0,0,0,0,0.176223775112431,0,0.199228272619838,0.0228837724620963,0,0,0,0.103034156855978,0,0,0,0,0,0,-0.105273726915477,0,0,0,0.0156895410291831,0,0.0666283831342081
X2318.HK.EQUITY,0,0.128263864271227,0.517696529454553,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238866537938829,0,0,0,0,0,0.191138608820515,-0.016883327307444,0,0.000888538990432356,0.00287797449660517,0,0
X601939.CH.EQUITY,0,0,0,0,0,0.25824530263227,0.171372097403847,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0304510700363712,0,0.130339790584622,0,0,0,0,0.0945175192149497,0.0286054292976124,0,-0.0169485027637285,0.0131405446753905,0,0
X939.HK.EQUITY,0,0.274386167071003,0,0,0,0,0,0,0.189046586670912,0,0,0.00387446466817407,0,0.0302534823622981,0,0.20655388149713,0,0,0,0.000904337243882322,0,0.0103097340109313,0,0,0.126958001999478,0,0,0.000809330663791243,0.00720024376711569,0.0157767409127066,3.46944695195361e-18
X601288.CH.EQUITY,0.0568789556644295,0.00735395263014791,0,0,0.231059127315842,0,0,0.0311939831848484,0,0,0,0,0,0,0,0.0705957627206493,0,0,0,0,0.05181946513587,0.0636787558010259,0,0,0,-0.0314864422309605,0,-0.00295740608777253,-0.00268511006800877,0,0.108294805966333
X5.HK.EQUITY,0,0,0,0,0.0856981680579046,0,0.257102744763719,0,0,0,0.199015307670359,-0.289783703568798,0,0.141767342546012,0,0,0,0,0,-0.0511173255818139,0,0.413260227604758,-0.0219209392657596,0,0,0,0,-0.00150046098364935,0.0179860835830657,0,0
X3988.HK.EQUITY,0,0.419635821554809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384554425988287,0,0,0.0480426367274132,0.00724183555479204,0,0,0.138058998204656,0,0,0.000964711172767198,-0.0130936956280646,0.0566413832752316,0
X601988.CH.EQUITY,0,0,0,0.0240388707318611,0.302725794284915,0.0195185034866698,0,0,0,0,0,0,0.0767661996857848,0,-3.46944695195361e-18,0,0,0,0,0.0180292129344176,0,0.00353410083006933,0,0,0,-0.00603917188480586,0,-0.00517716942635896,0.00112456191454559,0,0.0687608769421427
