,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.200888275873009,0,0,0,0,0,0,0.0316152154058328,0,0,0,0,0,0,0,0,0.0234159182028427,0,0.00488512692922497,4.42345957842342e-06,-0.00462185771982931,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0809392854770864,0.252145729487282,0,0,0,0,0,0,0,0,0,0,0.12427123159861,0,0.0181781477903739,0,0,-5.79653334645989e-05,0,-0.0471490681699648
X601939.CH.EQUITY,0,0,0,0,0,0,0.0807475831595547,0,0,0,0,0,0,0,0,0,0.338167534683434,0.07216094911986,0,0,0,0.0599813056431008,0,0,0,0.00571046159298889,0,0.0132956063270288,0.00373459476517249,0,-0.000483217412601983
X939.HK.EQUITY,0,0.374006029380032,0,0,0,0,0,0,0,0,0,0,0.0794641249373114,0,0,0,0,0,0,0,0,0,0,0.0952572736758169,0,0.0121593227887832,0,-0.00630929847982845,0.00742217617949194,0,-0.0928365225806141
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.225581570862649,0,0,0.165138627346646,0.156631185347732,0,0,0,0,0,0,0,0,0,0.0107356164687824,0,0,0,0.0123389427817822,0.00878216906271822,0.0192263385517016,-0.0614774831584127
X2318.HK.EQUITY,0,0,0,0,0.145749143625983,0,0,0,0,0,0.216136669440342,0,0.120550329195235,0,0,0,0,0,0.0978691012748731,0,0,0.0514514524728758,0,0.0529269134021726,0,0,0,-0.00372645615622578,-0.00113291977121015,0,0
X601288.CH.EQUITY,0,0,0.120041539073456,0,0,0,0,0,0,0,0,0,0,0.075418299722541,0,0,0.0907782637236627,0,0,0.0665792719853556,0,0,0,0.00393383232935923,0,0.0200309130221783,0,-0.00786719934526055,0,0,-0.00117709596938022
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.346402029278427,0,0,0,0,0,0,0,0,0,0.000493365968021828,0,0,0.163933090687678,0,0.0216800406814626,0,0,0.0242398264863965,0,0
X601988.CH.EQUITY,0,0,0.0792404576407224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154728094358978,0,0,0.0239202572559152,0,0.042585601570133,0,-0.00129284146914465,0.0109728846422498,0.0235546825443996,-0.0815744601500596
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.332997540648055,0,0,0,0,0,0,0,0,0.292814399024317,0,0,0,0,0,0,0.0109087936842114,-0.0669793611544847,0
X1299.HK.EQUITY,0,0,0,0,0,0.149974098987701,0,0,0,0,0,0,0.41414575829782,0.0487870136387925,0.119104243896192,0,0,0,0,0,0,0,0,0.155121473063609,0,0.0451718404202554,0,-0.00374509076270576,0.0146563042704056,0,0.0475910794112857
X5.HK.EQUITY,0,0,0,0.130909278391982,0,0.237507093183381,0,0,0,0,0.160858928546129,0,0.0274133780880248,0,0.272021138665996,0,0,0,0,-0.0921477509825916,0,0,0,0,0,0,0,-0.0136076020770858,0.00323980304889096,-0.0447183081939436,-0.313748503417491
X2628.HK.EQUITY,0,0,0,0,0,0.459602373052026,0,0,0,0,0.000646030222995472,0,0,0.239965741734927,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.606439912789162,0,0,0,-0.0107914635533826,-0.0126172630712464,-0.011680307001379,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.421149818146319,0,0,0,0,0,0,0,0,0.0247131027114708,0.0165963083683791,0.0626251758786828,0,0.0127259686249241,0,0,0.00823780029052788,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0237613678688256,0,0.257441916765635,0,0,0,0,0,0,0,0.0149112619944417,0,0.146278712893953,0.102719468470552,0,0.0149409491483422,0,0.00190489619869037,0.0158735663496168,0,-0.118055830302041
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.265246155698186,0,0.0237796434368634,0,0,0,0,0,0,0,0,-0.00990465585273887,0.00736126192473534,0.0060081342379169,0
X601166.CH.EQUITY,0,0,0.0825355093997106,0,0,0,0,0,0,0.558098103196284,0,0,0,0.0827567221086921,0,0,0,0.0635995881086817,0,0,0.0107209427841016,0,0,-0.0201188785085971,0,0.0143170879618569,0,0.00415412593253688,0.015675305915684,0,0
