,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1299.HK.EQUITY,0,0,0,0.159857620970252,0,0,-0.18705065733491,0.0676289152593454,-0.0727773402963775,0,0,0,0,0,0,-0.0830148891907184,0,0,0.350977014969305,0,0,0.118733419829421,0.36222531662858,0,0,0.0630128370814827,0,0.00489689896022975,-0.0283321110542338,0,-0.0957767633771999
X600036.CH.EQUITY,0,0,0,0.0792516635174857,0,0,0,0,0,0,0,0,0,0,0,0.234687234009536,0.298284392961967,0.168658820914144,0.0689305235849816,0,0.0105960348341683,0,0,0,0,0.0295304011876129,0,0,-0.0129728766643611,0.0947745277095123,0.248016437200376
X601628.CH.EQUITY,0,0,0,0.125915699097315,0,0,0.116550712345899,0,0,0,-0.0550719125144138,0,0,0,0,0,0.109947957809708,0.235949736505809,0,0,0,0,0,0.660767763069226,0,0,-0.00639981466487604,0,-0.045573204341682,0.115791485304662,0
X2628.HK.EQUITY,0,0,0.488158583459691,0.0749716964772152,0,0,0,0,0,0,0,0,0.175910674460241,0,0,0,0,0,0,0,0.0506915663117534,0,0.0542795931636791,0,0,0,0,0,-0.00330308313574237,0,0
X601328.CH.EQUITY,0,0.194032233965105,0,0,0.0651334855571707,0,0,0,0,0,0,0.238071992633074,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876281145571722,-0.00993795431407166,0,0.0379001373985959
X3328.HK.EQUITY,0,1.19930686628108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935084725250587,0,0,0.0058188907554192,0.0263166502904815,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.209909095804522,0,0,0,0,0,0.156331996677548,0,0,0,0,-0.110894391867646,0,0.336165392746702,0.0210110092457439,0,0,0,0,0,-0.0652928487533625,0,-0.018812981306425,-0.0193820966656915,0
X601319.CH.EQUITY,0.294150637825941,0,0,0,0,0,0,-0.576882027154614,0,0,0,0,0.0449742024475168,0,-1.38777878078145e-17,0,0,0,0,-0.35750596500407,0.281159593932634,0.115662919690435,0,0.364256846229596,0,0,0,-0.0217271938401444,-0.124278089745064,-0.0736757652906834,-0.335888252633645
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.389940622095318,0,0,0,0,0,0,0,0,0,0.0326324127729732,0,0.3747590469131,-0.012169320159666,0,0,0.00327016809852462,0.0223622364860482,0.0835192020140142,0.0134616383500162,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109067406349981,0,0,0,0.0796788087488575,0.203497984397832,-0.142722608002037,0,0,0,0,0,0.126427678358908,0,0,0,-0.0138145491296255,-0.00605193775634189,0,0.129472431178091
X000002.CH.EQUITY,0,0,0,0.202619405890336,0,0,0,0,0,0,0,0,0.0151630852976414,0,0,0,0.126357570907325,0.0702536476950493,0,0,0,0,0,0,0,0,-0.180356043274798,0,-0.143922430301235,0.117408068605116,-0.0781206660533711
X11.HK.EQUITY,0,0,0.148044902709568,0,0.324959246013189,0,0,0,0,0,0,0,0,0,0,0,0,0.0506567192953577,0.0245200689043542,0,0.0829359389747234,0,1.38777878078145e-17,0,0,0,0,-0.0166755247150469,0.0101783107351106,0,0
X388.HK.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.129181469250761,0,0,0.0249963761767761,0,0,0,0,0,0,0,0,0,0.0517306595433854,0.432112182598231,0,0,-0.0151049571548097,-0.0130202614713255,0,0
X601601.CH.EQUITY,0,0,0,0.231842584503522,0,0,0,0,0,0,0,0.111014114228073,0.26388198434195,0,0,0,0,0,0,0,0,0,0,0,0,0.00628725604326703,0,0.00454860885863115,-0.0189519746154403,0,0
X2388.HK.EQUITY,0,0,0.374419717419643,0.0621460047958991,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027133137012548,0,0,0,0,0.42118504328788,0,0,-0.0498296285758224,0,0,0,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317270963460315,0,0,0,0,0,0,0,0,0,-0.0397175354612262,0.00987060837664827,-0.778592947200812,-0.51361554521662
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.236904555430006,0,0,0,0,0,0,0,-0.0160596456815387,0,0,0,0,0,0,-0.225026341146507,0,0.00605424070676105,0
VXFXI.INDEX,0,0.558484862487102,0,0,0,0,0,0,0,0,0,0,-1.98304323512943,0,0,0,0,0,0,0,0,0.272160142843635,0,0,0,0,-4.1747162122249,0,0.0526094991361258,0.432244629131009,0.391385138052963
TED.SP,0.250604505032189,0,0,-2.11009921301182,0,-0.996141542527009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869285380453775,0,0,0,2.44899666487565,-0.317260563610195,-0.0805112219096296,0,2.80886172760597,1.1989829427891
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.0909206860197962,0.164332336783012,0,0,0,0,-0.0302056075947345,0,-0.246316139442022,0,0,0,0,0,-1.06083472591047,0,0.00705591793158748,0,0,-0.36666581783922
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.261742169249199,0,0,0,0,0,0,0,0,0,-0.162754182520997,0,0,0.255189043308718,0,-0.416802224912731,-0.0403020543722658,-0.0330609938866652,-0.00364938540935348,-0.387299980403304,0
