,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.0893782936457202,0,0,0,0,0,0.0108115031317493,0.190170043955169,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.274268292330784,0,0,0.0888019066300395,0,0,0.0606811345516958,0,0.0637359047595418,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.160941006863887,0.182157184464064,0.174185100445944,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0435506764069817,0.131555581189497,0,0,0,0,0,0,0,0,0,0,-0.00897899922917266
X601939.CH.Equity,0,0,0,0,0,0,0,0,0.0682021650005848,0.310389206044224,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0,0,0,0.0258241457743218,0.0731340768852881,0.0668376008165293,0,0,0,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.0578142523045902,0,0,0,0,0,0.028333032748738,0.181371961136822,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.723554588751978,0,0,0,0,0,0.579697846521214,0,0,0,0,-0.0868668052452808,0,0,0,0,0,-0.0129434946953526
X2628.HK.Equity,0,0,0.18144443272529,0,0,0,0,0.299130761077643,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.355666695806091,0,0.131522322866956,0,0,0.101985005317253,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0201471807294411,0,0,0,0,0.0222629692085166,0.0257808826147995,0.183490560248681,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0.147849966243222,0,0,0,0,0,0,0.122910090947799,0,0,0,0.00870796502892634,0.034635070684039,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.11339648554133,0.0985868002805255,0,0,0,0,0,0,0,0,0,0
X5.HK.Equity,0,0,0,0,0,0,0,0,0.125623745512343,0,0,0,0.149506337166137,0,0,0,0,0,0,0
X388.HK.Equity,0,-0.185495826971894,0,0,0,0,0,0.0798217861306146,0.29365188831284,-0.201637214074793,0,0,0.235785735675862,0,0,0,0,0,0,0
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0.181744955397666,0,0,0.0891999294819829,-0.212989435404917,-0.0139978805270612,-0.0840873751059872,0,0.245050029584306,0,-0.108015399792045,0.0806679072583111,0,0,0,-0.223769024452265,0,0
SHIF3M.Index,0,0,0,-0.0225317849678997,-0.0396468816732593,0,0,0,0,0,0,0,0,0,0,0,-0.0188716110591827,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,-0.0089125976548087,0,0,0,0,0,0.0774356288733969,0,0,0,0,-0.107320826949259
VXFXI.INDEX,0,0,-0.634096907163281,0,0.630790712581557,0,0,-0.10422590334837,-0.0271293406489794,0,0.192314253515636,0,0,0,0,0,0,-0.0390711470411316,-1.78119778894274,0
