,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0,0,0,0.0161584750471579,0,0.221627076232574,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.277386118042883,0,0,0.0786411027792105,0,0,0.0802626191649653,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.197244760319221,0.145000279041378,0.0972836788809118,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0252797784302419,0.182103678844441,0,0,0,0,0,0,0,0,0,0,-0.0100647246345032
X601939.CH.Equity,0,0,0,0,0,0,0,0.0370078048644702,0.0416914989520645,0.257997681107786,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.307965892004662,0,0,0,0,0,0.0325346474009373,0.00794566673824215,0.0698566516727807,0,0,0.0693881956057202,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.0648760626185815,0,0.0776808007631334,0,0,0,0.022911283344652,0.137952813316575,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.745537451632844,0,0,0,0,0,0.309685639424249,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.298859321228028,0,0,0,0,0.281566873285683,0,0,0,0,0.000519733128742681,0.0325140064020513,0.0384692527340793,0,0,0,0,0
X600036.CH.Equity,0,0,0.311122084912624,0,0.174207768714089,0,0,0.100964749393005,0.0160010340959966,0,0,0,0,0.0227179421163307,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.052259946302576,0,0,0,0,0.025425940561934,0,0.155589603620118,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0.0720579109842834,0.0858199496282352,0,0,0,0,0,-1.73472347597681e-18,0.0579489922324471,0.0599507259125775,0,0,0.0670547351704402,0.0884451720131142,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.14194689108253,0.0664626985261194,0,0.0215232338415858,0,0.0910688481481371,0,0,0,0,0,0
X5.HK.Equity,0,0.186478394831028,0,0,0.100999637980228,0,0,-0.0465369314337598,0,0,0,0.0737531777037257,0.0719540379068392,0,0.144219017037495,0,0,0,0.150349546663374,-0.0168610680827303
X388.HK.Equity,-0.140711678391217,-0.242030140553714,0,0,0,0,0,0.0673841741193198,0.312212915366719,-0.0621440676661484,0,0,0.209355391825501,0,0,0,0,0,0,0.0283904287206012
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,0,0,0,-0.0163650966929859,0,-0.0309737228912562,0,0,0,0,0,0,-0.0150746336580328,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0614354755920633
VXFXI.INDEX,0,0.424073470637282,-0.200314390304957,0,0.477122491312177,0,0,-0.0490533300547226,-0.331087905982119,0,0.178202844065855,0,0,0,0,0,0,0,-1.18072393885066,0
