,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.0248168639181032,0,0,0,0,0.0130581313508918,0,0.201581875427708,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.501507636969065,0,0,0.0800009645809504,0,0,0.105454886401605,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.174430511501103,0.122896936093432,0.151343821422469,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0435509163737818,0.131555285637698,0,0,0,0,0,0,0,0,0,0,-0.00897901196513027
X601939.CH.Equity,0,0,0,0,0,0,0,0.0131216845464426,0.0112174765991171,0.289309096083561,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.319364689153208,0,0,0,0,0,0.0323918365082094,0.00858783719622468,0.0695498309321569,0,0,0.0711018038496232,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.00157065069226192,0,0.221953841076529,0,0,0,0.0193279935110931,0.138880101544394,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.757244849712863,0,0,0,0,0,0.309699506286523,0.0248927498073152,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.167912544874666,0,0,0,0,0.311902655806517,0,0,0,0,0.0435791172627732,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.308406046033638,0,0.158704978034264,0,0,0.098946539173256,0.0242648383217332,0,0,0,0,0.0192155596826299,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0649549086135086,0,0,0,0,0.022263154615125,0.00433634878602847,0.182618033490507,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0.0677015728674597,0.0907418937930033,0,0,0,0,0,0,0.0448485445947919,0.0563264038537577,0,0,0.0659619428673081,0.0995519554215268,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.0938127855726957,0.0840816463589265,0,0,0,0,0,0,0,0,0,0
X5.HK.Equity,0,0.144271899460221,0,0,0,0,0,0,0.0661686676773577,0,0,0.0715293910387647,0.121213342807742,0,0,0,0,0,0,0
X388.HK.Equity,-0.0957330057702532,-0.258119385881106,0,0,0,0,0,0.100783363117143,0.274171866804883,-0.0794667917082552,0,0,0.219718319603601,0,0,0,0,0,0,0.0338675444204285
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,0,0,0,-0.017215448611888,0,-0.0284381704101886,0,0,0,0,0,0,-0.0170950840104393,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0132284976100056,0,0,0,0,0,0,0,0,0,0,0,-0.0889509195875216
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.588764536164656,0
