,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0,0,0,0.0391395126884018,0,0.140889047257029,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.51076219862205,0,0,0.0777643817406506,0,0,0.107013597382599,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.182398213809713,0.15033206659894,0.101569725708566,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0435508341275067,0.131554913494659,0,0,0,0,0,0,0,0,0,0,-0.00897889270135985
X601939.CH.Equity,0,0,0,0,0,0,0,0.0274154139886121,0.0489407944513835,0.271231618845381,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.296782229613291,0,0,0,0,0,0.0326739468827432,0.00731720237712563,0.0701589372893436,0,0,0.0677057723867144,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0,0,0.145471499091468,0,0,0,0.0130341341371277,0.168533367157952,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.761398093065779,0,0,0,0,0,0.28381901273281,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.165343941385727,0,0,0,0,0.278055290848875,0,0,0,0.097461083088061,0,0,0.00805361368544556,0,0,0,0,0
X600036.CH.Equity,0,0,0.315356823001274,0,0.169878356151205,0,0,0.0988498081294115,0.0164267324828937,0,0,0,0,0.0103957229446955,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0633797940489883,0,0,0,0,0.0218745091657212,0.00643929994379729,0.185586072321035,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0.0696361447343995,0,0,0,0,0,0,0.0441980538407252,0.0855856054255745,0,0,0.0645289677944509,0,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.0869953959220585,0.0850314933041315,0,0,0,0,0.0135755075303036,0,0,0,0,0
X5.HK.Equity,0,0.207292624073978,0,0,0.0933792392535187,0,0,-0.0515573719281294,0,0,0,0.0667591441297804,0.0767547343249994,0,0.135865168569982,0,0,0,0.163910389268954,0
X388.HK.Equity,-0.148264022675091,-0.244925137736387,0,0,0,0,0,0.063662074785344,0.313595753478384,-0.0508685114566631,0,0,0.203285420055308,0,0,0,0,0,0,0.0227950279183464
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,0,0,0,-0.0172270925577861,0,-0.0303510072580911,0,0,0,0,0,0,-0.0207183953989083,0,0,-2.16840434497101e-19
FXI.US.EQUITY,0,0,0,0,0,0,0,8.91924328403049e-06,0,0,0,0,0,0,0,0,0,0,0,-0.0956732124857213
VXFXI.INDEX,0,0,0,0,0.192314344640894,0,0,0,-0.103930172163679,0,0.164442274278564,0,1.73472347597681e-18,0,0,0,0,-0.412700535932738,-1.20497183730926,0
