,BTC,ETH,XRP,BCH,LINK,BSV,ADA,LTC,BNB,CRO,XTZ,EOS,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.116613589918384,0,0,0,0.112046884606537,0,0,0,0.0241544808922949,0.0346264761267789,0.0247512895828864,0,0,0,0,0,0,0,0.0218172106276624
ETH,0,0,0,0,0.0981678700143747,0.144767911532236,0,0,0.0729752496883399,0,0,0,0,0,0.152735768457101,0,0,0,0,0
XRP,0,0,0,0.119895857016756,0,0.138348619706821,0.0401653491274286,0.304592133188135,0,0,0,0,0.0711392971853899,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00143848690090817,0.326656067405369,0,0.188915443978815,0,0.0127176644881414,0,0.108588027603823,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0.196238754667446,0,0,0,0.604830887233246,0,0.0114785189060778,0,0,0,0,0,0,0
BSV,0,0.117399409793182,0,0.340675824199639,0,0,0,0.173904400889795,0,0,0,0.128408307403776,0,0,0,0,0,0,0,-0.0118907836569226
ADA,0,0.162126818885288,0,0.054496135677496,0.175983128152808,1.0842021724855e-19,0,0,0,0,0.0527895584358777,0.0967582063577453,0,0,0,0,0,0,0,0
LTC,0,0.117742013318742,0,0.161601255521129,0,0.0788082417293509,0.0387681906793606,0,0,0,0.0391235103024524,0.245853440004187,0,0,0,0,0,0,0,0
BNB,0,0.278967140776865,0,0,0,0.131823478928607,0.0658961959854918,0,0,0,0.0466591959531164,0,0,0,0.0377461648205073,0,0,0,0,0
CRO,0.369260686366628,0.0652655546590047,0,0,0,0.100904708332642,0,0,0,0,0,0.0297343747458866,0,0,0.136523378080456,0,0.0209108831305413,0,0,0
XTZ,0,0,0,0.123038120884647,0.414185778818251,0,0.0224023723593249,0,0,0,0,0.0291443374955594,0.100738828248146,0.0329629158066616,0.0348328079246489,0,0,0,0,0
EOS,0,0,0,0.314322021238145,0,0.202637025039112,0.0315994337491543,0.00643004316541501,0,0,0,0,0.0707943923025895,0,0.0944956214114001,0,0,0,0,0
XLM,0,0,0,0,0.0714689302731311,0,0.233566097030891,0,0,0,0.170568171026406,-1.73472347597681e-18,0,0,0.0585501671028102,0,0,0,0,0
XMR,0,0,0,0.143750709938861,0,0,0,0,0.241860657100648,0,0.0314960555742715,0.0980481240232942,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.107334170510669,0.0850169440414461,0,0,0,0.0775661651863436,0.344824476311509,0.0586457614299316,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0295970555679716,0,0,0,0,0,0.00708109403973313,0,0,0,0,0,-0.0157340855927194,0,0,0
CVIX.INDEX,0,0,0,0,0,0,-0.0658663275625229,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0329970345994545,0,4.33680868994202e-19,-0.0345076029985476,0.00684000476887808,0,0.00309089343651012,0,0,0.0397758832868746,0.0124893549234466,0,0.00159782033620394,-0.0375369342458538,0,0,-0.000408052275448968,0,0,0.0116144416123725
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0058063943815371,0,0,-0.15339045490291
VIX.INDEX,0.0767436582464556,0,0,0,0,0,-0.0262828335038853,0,0.0614794076898882,0,0,0,-0.0332810918955345,0,0,0,0,0,-3.50632478763003,0
