,BTC,ETH,XRP,LINK,BCH,BSV,LTC,ADA,EOS,BNB,CRO,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.126701100446781,0,1.0842021724855e-19,0,0.103157203547934,0,0,0.0503953544474299,0,0.00827802899553814,0.0292872316708065,0,0,0,0,0,0,0,0.0178238165725009
ETH,0,0,0,0.00664524855384153,0,0.112459048991614,0,0,0,0.166369865426227,0,0.0903709201216946,0,0.11283135873252,0,0,0,0,0,0
XRP,0,0.0929377231240974,0,-3.46944695195361e-18,0.180629713148393,0.154303795928687,0,0,0,0,0,0,0.0275698886017437,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.19280807295753,0,0,0,0.619095208049778,0.00949842559517162,0,0,0,0,0,0,0
BCH,0,0,0,0.00403485781141471,0,0.342145911882451,0.194755307531853,0,0.0655319614562862,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0.148820833469019,0,0,0.396778833204855,0,0.12265810941818,0,0.193916281124444,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0638977026932723,0,0,0.402567423121617,0.0415141776482523,0,0.0262587926141548,0.133659648915704,0,0,0.0347448875222254,0,0,0,0,0,0,0,0
ADA,0,0.185793032998564,0,0.137906769910579,0.141546452403158,0,0,0,0,0.0604816653089746,0,0.0682863225275511,0,0,0,0,-0.033171163155768,0,0,0
EOS,0,0,0,0,0.290164895161587,0.208132789800028,0.0305345443831477,0.0294331921347873,0,0,0,0,0.0543685167765603,0.0953297480356709,0,0,0,0,0,0
BNB,0,0.235636503455156,0.00358206210719317,0.00745782738484201,0,0.145704872768378,0,0.0818570133695284,0,0,0,0.0391495899174445,0,0,0,0,0,0,0,0
CRO,0.238206068140529,0,0,0,0,0.142992826299155,0,0,0.0501446953251437,0,0,0.033909116251765,0,0.0599920363037067,0,0,0.104759837624172,0,0,0
XTZ,0,0,0,0.347613925160158,0,0,0,0.097487355531757,0,0.113955435324907,0,0,0.141514746876735,0,0.0354971447833846,0,0,0,0,0
XLM,0,0,0,0.0424495044607694,0,0,0,0.220671327930791,0,0,0,0.181464492173219,0,0,0,0,0,0,0,0
TRX,0,0.0101961678921094,0,0,0,0.20121937196513,0.0959204613381496,0.0972118255854597,0.0396649616668197,0,0,0.0426502379929202,0.157636584024667,0,0,0,0,0,0,0
XMR,0,0.0913254976417371,0,0.00454032684495456,0.231446026724999,0,0,0.0673720333944309,0,0.126126439816961,0,0,0,0,0,0,0,0,0,-0.0547207276498673
BV010082.INDEX,0,0,0,0.0212471934515967,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179804554265411,0,0,0
CVIX.INDEX,0,0,0.000613211686621441,0,-0.112003566793599,0,0,-0.0701306238770593,0,0,0.27275586438612,0,0,0,0,0,0,0,0,-0.0476759581657543
DXY.INDEX,0.0160973825341967,0.00635323548619016,0,0,-0.025207398654095,0,0,0,-0.00423249993193971,0,0.0426330909052279,0.0139158989172587,0,0,-0.0340141198479542,0,0.000218608743806781,0,0,0.00931897801455239
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00911501360381637,0,0,-0.136164259651766
VIX.INDEX,0,0,0,0.0024582575843672,0,0,0,-0.0775198894539554,0,0.130661113078017,0,0,-0.0366302893942188,-0.1260909193655,0,0,-0.0121779297119729,0,-3.4206531841411,0
