,BTC,ETH,XRP,DOT,BCH,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.156996276142922,0,0,0.0943628890396497,0,-4.33680868994202e-19,0,0,0.0291199753214176,0,0.0667000950118005,0,0.0162416349050867,0,0,0,0,0,0
ETH,0,0,0.259863067845808,0,0,0,0.15307361949241,0,0.190751594431049,0,0.104855042489262,0,0.00363443309021458,0.00361239426416323,0,0,0,0,0,0
XRP,0,0.215133001652265,0,0.0348629378367905,0.278113525972423,0,-0.011495455762195,0,0,0,0.0708692416752478,0,0,0,0.0648153977519032,0,0,0,0,0
DOT,0,0,0,0,0,0.220275915037391,0.032298970678789,0,0,0,-1.73472347597681e-18,0,0,0,0.0504857705394676,0,0,0,0,-0.041961405529435
BCH,0,0,0,0,0,0,0,0,0.386116456529004,0.277782855134185,0.0143693748700582,0.0280127692387949,0,0,0,0,0,0,0,0
BNB,0,0.247424246084376,0,0,0,0,0.0530495542377353,0,0.127102361850071,0,0,0,0,0.0616249933800504,0,0,0,0,0,0
LINK,0,0.418870998143366,0,0.0436207074349442,0,0.0290825277660776,0,0,0,0,0.0615233286719779,0,0,0.187411786882848,0.018160609875327,0,0,0,0,0
CRO,0,0,0,0,0.00365717594242484,0.0423229239727394,0,0,0.300269482331144,0,0,0.00578229235131073,0,0,0,0,0,0,0,0
LTC,0,0.166142302720136,0,0,0.257724590263703,0,0.0375011415109383,0,0,0.144647408268039,0,0.0780497239653607,0,0.0368574598822929,0.0407749446919983,0,0,0,0,0
BSV,0,0,0,0,0.366408026370747,0,0,0,0.237466408029353,0,0,0.181285837420894,0,0,0,0,0,0,0,0
ADA,0,0.347970127693651,0,0,0,0,0.138201346569046,0,0.0826048242125529,0,0,0.0425136489298417,0,0.0354449743324233,0.0505736967876173,0,0,0,0,0
EOS,0,0,0,0,0.295691415629246,0,0,0,0.300150311693648,0,0,0,0,0.141410342906678,0,0,0,0,0,0
TRX,0,0.483634339948453,0,0.0621025150301893,0,0.087903016697925,0.098743887103405,0,0,0,0.125939022509817,0,0,0,0.108602946570162,0,0,0,0,0
XTZ,0,0,0,0,0.0201948232057323,0,0.29879514031055,0,0,0,0.140258948814099,0,0,0,0.172467641283802,0,0,0,0,0
NEO,0,0.16056119399568,0,0.0487879487564759,0,0,0.0718757852680165,0,0,0,0.181537977189455,0.228511045145726,0.00852573676458017,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0197538942316015,0,0,0,0,0,0,0,0,0,-0.0108494379535229,-0.022223499494719,0,-0.0247917193151556,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.00915091361278901,-0.0238110262917388,0,-0.00677965201627262,0.00871072084872204,0,0,0,0,0,0.0106724547226007,0,0,0.00623625814589215,0,0,0.00384367289682777
SPX.INDEX,0,0,0,0.00168964205670494,0,0,-0.00210009050501024,0,0,0,0,0,0,0,0,0,-0.0136555745529507,0,0,-0.0907927668377601
VIX.INDEX,0,0,0,0.0263926483669076,0,0.00753435876827731,0,0,0,0,-0.262070936554931,0,0.113409682606783,0.0645948849778197,-0.0249289225307694,0,0.0103149093443452,0,-1.55234360888026,0
