,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.146490773275794,0,0.0365881393435683,0,0,0,0,0,0,0,0.101718593253297,0,0,0.018887881743726,0,0,0,0,0
ETH,0,0,0.134373744269504,0,0,0,0.140254172534718,0,0.269722683793821,0,0.0216599093790939,0,0,0.086182110071947,0,0,0,0,0,0
XRP,0,0.144259624812066,0,0.0933448809162829,0,0,0,0,0.136385364585377,0,0.136862158898946,0,0,0.0380053809548824,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.386116456529004,0.277782855134185,0.014369374870058,0.028012769238795,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0.143900472659558,0.0497219170896021,0,0,0,0,0,0,0.0813100743384941,0,0,0,0,0,0
BNB,0,0.246464467860791,0,0,0,0,0.0951705732846636,0,0.049543039089576,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.318930513269539,0,0,0,0.212407543868572,0,0,0,0,0.184748490592209,0,0,0,0.267380049952075,0,0,0,0,0
CRO,0,0,0,0.0115887447536563,0,0.0511433907628258,0,0,0.29695179842616,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.156281908515826,0,0.252624542925569,0,0,0.0391933255774341,0,0,0.14964213676997,0,0.0799925229847702,0,0.041245080680436,0.0373959892844539,0,0,0,0,0
BSV,0,0.0518504532760424,0,0.430735321719547,0,0,0,0,0.184149723161587,0,0,0.155985296252072,0,0,0,0,0,0,0,0
ADA,0,0.303532983896543,0,0.021226698589163,0,0,0.131991828920131,0,0.0862673500486752,0,0,0.0185170780523147,0,0.0471018756119909,0.0307510033090071,0,0,0,0,0
EOS,0,0,0,0.295696030552191,0,0,-1.73472347597681e-18,0,0.300147216534312,0,0,0,0,0,0.141409009418356,0,0,0,0,0
TRX,0,0.469563570270723,0,0,0.0609352214103681,0.0860705594362206,0.0997842181545548,0,0,0,0.132552610796785,0,0,0.113170941006365,0,0,0,0,0,0
NEO,0,0.161639037733112,0,0,0.0536064432268457,0,0.0704158637346833,0,0,0,0.177680548329601,0.233297724686761,0.0127398445732281,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.2934208488376,0,0,0,0.141638579779532,0,0,0.165666029620446,0,0,0,0,0,0
BV010082.INDEX,0.009089444286039,0,0,0,0.0115781403851486,0,0,0,0,0,0,0,0,-0.0193383788853627,-0.00845045463436216,0,-0.0288076590968288,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0307298623630249,0,-1.0842021724855e-19,-0.00381171584872064,0.0134477290036631,0,0,0,0.00344720990282409,0,0,0.0095734805011887,0,0.00572409301776885,0,0,0.00263591981458638
SPX.INDEX,0,0,0,0,0.0075956455400505,-0.00844660552954846,0,0,0,0,-0.0163024402098641,-0.00291470845195892,0.0113304338284787,0,0,0,-0.0128414116831446,0,0,-0.114238329852377
VIX.INDEX,0,0,0,-0.00277093092540655,0.0192542088344727,0,-1.73472347597681e-18,0,0,0,-0.225528532708129,0,0.120734078907676,0,0.0417554712267964,0,0.0312788844769319,0,-1.41117287452659,0
