,BTC,ETH,XRP,LINK,BCH,BSV,LTC,ADA,XTZ,BNB,CRO,EOS,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.11522063562289,0,0.00552681704773997,0,0.094429419699924,0,0,0.0241407662430239,0,0.0583428172224518,0.0307930471019461,0,0,0.0356646074079661,0,0,0,0,0.0194617859300141
ETH,0,0,0,0.0955239735980224,0,0.115864788311874,0,0,0,0.108931222278944,0.0419410869512777,0,0.0346329510015294,0,0.11721207821686,0,0,0,0,0
XRP,0,0,0,0,0.124514693634962,0.111800545716966,0.28667073716794,0,0,0,0,0,0.0502818001133685,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.196238754667446,0.604830887233244,0,0,0,0.0114785189060779,0,0,0,0,0,0,0
BCH,0,0,0,0.00180406933177816,0,0.320535477023132,0.220373793467979,0,0,0,0.0168570184553057,0.108562533486887,0,0,0,0,0,0,0,0
BSV,0,0.149551684883691,0,0,0.385174862702856,0,0.123906860011304,0,0,0,0,0.169842783764783,0,0,0,0,0,0,0,-0.00937690113226169
LTC,0,0.0959196451987717,0,0,0.345769831913683,0.0418112773602102,0,0.0335156210915791,0.0364521486059015,0,0,0.163855389821876,0,0,0,0,0,0,0,0
ADA,0,0,0,0.185202056431121,0,8.67361737988404e-19,0,0,0.0412015770145542,0,0,0.205900153341036,0,0,0,0,0,0,0,0
XTZ,0,0,0,0.424897788454129,0.162016372933001,0,0,0.0109999007602646,0,0,0,0,0.0937866955587256,0.0314426141686275,0.0440946703292506,0,0,0,0,0
BNB,0,0.211108669647503,0,0.0319287393715857,0,0.156075773033407,0,0.0879218611101632,0.010599254014067,0,0,0,0,0,0,0,0,0,0,0
CRO,0.398083935802083,0.157279902105257,0,0,0,0.0855799984105576,0,0,0.00122039317687232,0,0,0.0707575483918966,0,0,0.0293555734961499,0,0.0410208810472002,0,0,0
EOS,0,0,0,0,0.322702911308341,0.219026253926994,0,0.00433010147181415,0,0,0,0,0.112597767015412,0,0.0260980660257358,0,0,0,0,0
XLM,0,0,0,0.0433716189118251,0,0,0,0.228591230622555,0.187439731889984,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.028979144914336,0.216515495169887,0,0,3.46944695195361e-18,0.0251346962240172,0.250766573004155,0,0,0,0,0.0426995931017598,0,0,0,0,0
TRX,0,0,0,0,0,0.103546460389091,0,0.0946255752468216,0.101225161979874,0,0,0.349379633643774,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0296121429928204,0,0,0,0,0.00684360941165272,0,0,0,0,0,0,0,-0.0157975451932942,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0151653692477923,0,0,0.00294845627339089,-0.0243106078757234,0,0,0,0.0123842844973506,0,0.0394740432675369,0,0,-0.024285858550468,0,0,0.000683445630251238,0,0,0.0146952153823334
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00580637081958449,0,0,-0.15339039020207
VIX.INDEX,0,0,0,0,0,0,0,-0.019038882910703,0,0.127149729393137,0,0,-0.0358812815778391,0,0,0,0,0,-3.49082974092481,0
