,BTC,ETH,XRP,LINK,BCH,LTC,BSV,BNB,CRO,EOS,ADA,XTZ,TRX,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0518462682864903,0,0,0,0,0.123822743694732,0,0,0.0274237709616409,0,0.0151351300544415,0.049808934634547,0,0,0,0,0,0,0
ETH,0,0,0,0.0917721196659445,0,0,0.186361785454611,0.0271894505636665,0,0,-3.46944695195361e-18,0,0.10461873733857,0,0,0,0,0,0,0
XRP,0,0.0365745440720651,0,0,0.107270841069659,0.0940288891641334,0.19993981873114,0,0,0,0.0115580050848247,0,0.099528836910692,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.254426782088219,0.321609505455985,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.251033615174502,0.221505972838611,0,0,0.0901994284431769,0.0148759554597322,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0415565454162014,0.041366362290349,0,0.0896972514070261,0,0,0.398394561886114,0.0510374006323234,0.00645972499071842,0,0,0.0601003977329887,0,0,0,0,0
BSV,0,0,0,0,0,0.351636872213671,0,0,0,0.167525381269389,0.00997957401628811,0,0.00572793535525724,0,0,0,0,0,0,0
BNB,0,0.241405628328121,0,0,0,0.127879638456815,0,0,0,0,0.0317430821014194,0.0667315465557124,0.0006687394130953,0,0,0,0,0,0,0
CRO,0,0,0,-0.00152854661857558,0,0.167171277913166,0.100688879597376,0,0,0,0,0,0.0196245514781174,0.088982930901432,0,0,0.126787043676094,0,0,0
EOS,0,0,0,0.0126927166515222,0.275548383106629,0.163184591083548,0.061620428646479,0,0,0,0.0115810035806879,0,0.138375404299634,0.0603071151560711,0,0,0,0,0,0
ADA,0,0.0682890089718986,0,0.167321360618875,0,0,0,0,0,0,0,0.0544278288340931,0.190296743537086,0,0,0,0,0,0,0
XTZ,0,0,0,0.36487227925497,0,0,0,0,0,0,0.0892735779217582,0,0.0435908758024114,0.116428498829694,0.0402371586593919,0,0,0,0,0
TRX,0,0.0839742251415434,0,0,0,0,0.0511646515155083,0,0,0.329413865382037,0.121026792175149,0.114166177109564,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0482084972402746,0,0,0,0,0,0,0.201489651406031,0.159142366721644,0.0669500221969957,0,0,0,0,0,0,0
XMR,0,0.0692666665609778,0,0.00574053511475658,0,0.218405261110646,0.00757183946867118,0.345584381713553,0,0,0,0.0711881319550582,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00682224413213702,-0.0293793191268369,0,0,-0.0303346466197876,0,0,0.00821857922359455
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0591106186173145,0,0,0,0,0,0,0
DXY.INDEX,0.0201592378714887,0.0141673831951985,0,-0.0019859031012162,-0.0306387270796368,0.00861304301264346,0,0,0.0165628306212862,0,-0.00576866144636561,0.0117313940726504,0,0,-0.0248720442524838,0,0.0033686555672271,0,0,0.00125096249898903
SPX.INDEX,0,0,0,-0.00213574925011306,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137256394824146,0,0,-0.091002293699139
VIX.INDEX,0,0,0,0,0,0,0,0.167840045669508,0,0,-0.155784717933396,0.0568277136421913,-0.023241077200377,-0.0398148323557438,0,0,0,0,-3.6217060648409,0
