,BTC,ETH,XRP,BCH,DOT,BNB,CRO,LINK,LTC,BSV,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.149335479202813,0,0.0334636115239619,0,0,0,0,0,0,0,0.10352639417648,0,0,0.0164904430030244,0,0,0,0,0
ETH,0,0,0.261153342898815,0,0,0,0,0.15947975007104,0.193180000345252,0,0.099151703167937,0,0.00623927305354984,0,0,0,0,0,0,0
XRP,0,0.233431853078473,0,0.0935933595648138,0.0246713588108215,0,0,0,0.227583412489184,0,0.0539811509545007,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00484024920868461,0,0,0,0.351332850703813,0.310792131424455,0,0.07584672052418,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0.31873188514525,0,0.107527986778404,0,-0.10567402391836,0,0,0.128268370938265,0,0,0,0,0,0,-0.111167796432528
BNB,0,0.249970275060627,0,0,0,0,0,0.0566319242677775,0.122415841743789,0,0,0,0,0,0.0616473627962885,0,0,0,0,0
CRO,0,0,0,0.00322327832615483,0,0.0461904613859936,0,0,0.307091060574055,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.335539654705952,0,0,0.084015880329194,0,0,0,0,0,0.164875176918698,0,0,0,0.253414093475126,0,0,0,0,0
LTC,0,0.146766502992853,0,0.25095089690736,0,0,0,0.0555545340345207,0,0.123775348148009,0.0202458603124417,0.131897329156545,0,0,0.0186964952356936,0,0,0,0,0
BSV,0,0.0937292925649592,0,0.363414592338444,0,0,0,0,0.161600788485776,0,0,0.140672279495445,0,0.0913005243007204,0,0,0,0,0,0
ADA,0,0.245272330316438,0,0.147344514755869,0.00767882011194204,0.0421934738020877,0,0.138270664803537,0.0665407374375743,0,0,0,0,0,0.0772205016502188,0,0,0,0,0
EOS,0,0,0,0.30544425437747,0,0,0,0.0126233371866394,0.24896913248719,0,0,0,0,0,0.126881446523788,0,0,0,0,0
TRX,0,0.435192390159388,0,0,0.0789757298555861,0,0,0.118109660281448,0,0,0.174494952266858,0,0,0.221337126976095,0,0,0,0,0,0
XMR,0,0.214618934420542,0,0.138488377801747,0,0,0,0.0408965888310468,0,0.0767067969101391,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.144786835796362,-6.93889390390723e-18,0,1.73472347597681e-18,0,0.41867632081751,0,0,0.101389346005324,0,0,0.188427048145474,0,0,0,0,0,0
BV010082.INDEX,0.039596828217011,-0.0212039076347396,-0.00485012431510723,0,0.0133052164278519,-0.00398774364069532,0,0,0,0,-0.00333638273119769,-0.0286616568672827,-1.0842021724855e-19,0,0,0,-0.0262758863955692,0,0,0
CVIX.INDEX,0,0,0,0,-0.00230182346837304,0.0143751784966274,0,0,0.0731510364642461,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00411787097120013,0,-0.0285643190529054,0,0,0.0162610320105435,-0.00149713756379553,0,0,-2.16840434497101e-19,-2.16840434497101e-19,0,0,0.0111559752795661,0,0.00545144579784911,0,0,0.00447750867956113
SPX.INDEX,0,0,0,0,0.00737939540296232,-0.00344175740214233,0,0,-0.00496561046816524,0,-0.0218311911301719,0,0.0151784285021842,0,0,0,-0.0132590179790458,0,0,-0.121642289845416
VIX.INDEX,0,0,0,0,0.0196435366662235,0,0,-0.00298313974547305,-0.00961371693475915,0,-0.22110643539758,0,0.119015810435033,0,0.0421129529164741,0,0.0309826463165577,0,-1.50603116072615,0
