,BTC,ETH,XRP,BCH,LINK,BSV,LTC,ADA,BNB,CRO,XTZ,EOS,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.117818794466,0,0,0,0.103737270396497,0,0,0,0.0623835753396171,0.032811563192537,0.0298311054087585,0,0,0,0,0,0,0,0.0270366641439344
ETH,0,0,0,0,0.0657540812850883,0.219031644709331,0,0,0.0847789194384302,0.0344331766602676,2.16840434497101e-19,0,0.00467575928759739,0,0.04010713026879,0,0,0,0,0
XRP,0,0,0,0.119895857016756,0,0.138348619706821,0.304592133188135,0.0401653491274286,0,0,-1.35525271560688e-20,0,0.07113929718539,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00308891136303403,0.329164399983085,0.177136466013717,0,0,0,0,0.112274032020419,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.196238754667446,0,0,0.604830887233245,0,0.0114785189060778,0,0,0,0,0,0,0
BSV,0,0.123672219486806,0,0.351737822647236,0,0,0.15479427625085,0,0,0,0,0.131339630542135,0,0,0,0,0,0,0,-0.0117880037416958
LTC,0,0.0997606432574827,0,0.167661225906182,0,0.09419031835587,0,0.0448381962569465,0,0,0.00890677136193421,0.226097012691192,0,0,0,0,0,0,0,0
ADA,0,0.187874248028307,0,0,0.182667260793167,0,0,0,0,0,0,0,0.00954251933941861,0,0.255287713522432,0,-0.0748608700147429,0,0,0
BNB,0,0.215478903609854,0,0,0.0383186591846733,0.141087514337691,0,0.0881141381249062,0,0.0149651850976043,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
CRO,0.517610103564866,0.0279059043188519,0,0,0,0.101034688469025,0,0,0,0,0,0,0.00958487261220929,0,0.0942569497155034,0,0,0,0,0
XTZ,0,0,0,0.162021738951446,0.424905746915383,0,0,0.0109898967315657,0,0,0,0,0.0937774710855174,0.0314430245481805,0.044104121948272,0,0,0,0,0
EOS,0,0,0,0.277902077887572,0,0.155532106063409,0,0.019928078549885,0,0,0,0,0.00640933696112635,0,0.134600861261918,0,0,0,0,0
XLM,0,0,0,0,0.0636696046999541,0,0,0.221650928161287,0,0,0.186864384053372,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.233121250728094,0,0,0,0.0128102752485382,0.17646417495254,0.0901627231481836,0.0332480234423535,6.93889390390723e-18,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.179522961591745,0,0.126005675694109,0,0,0,0.123457368577361,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0242540498851195,0,0,0,0,0,0.0176800454965297,0,0,0,0,0,-0.0152654682688981,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,-0.090465242314481,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0544093515215292,0,0,-0.0363175931177976,0,0,0,0.00397147331320748,0.00216143969284764,0.006872865669936,0.0147931989746429,0,0.00776821066782223,-0.0242492076278041,0,0,0.00704825397103096,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00580639356833468,0,0,-0.153390337649549
VIX.INDEX,0,0,0.141928949162077,0,4.33680868994202e-19,0,0,-0.0654905088736251,0.0503079491114738,0.0381022888261631,0,0,-0.0686336163479947,0,0,0,0,0,-3.47610519861765,0
