,BTC,ETH,XRP,LINK,DOT,BCH,BNB,LTC,CRO,BSV,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.169879078907316,0,0,0,0.038595462903214,0,0,0,0.0610691342071841,0.0658304675430822,0,0,0.0193379170379399,0,0,0,0,0,0
ETH,0,0,0,0.0316538126724831,0,0,0.264374277107709,0.0403884742809227,0,0,0,0.202251768365414,0,0.110258893398083,0,0,0,0,0,0
XRP,0,0.154880105828321,0,0,0.0264224224044223,0.168678281698794,0,0.136878747758959,0,0,0,0.114369827387123,0,0.00500211744407989,0,0,0,0,0,0
LINK,0,0.18677144968929,0,0,0.135581901647977,0,0.120172887655014,0,0,0,0,0.198867767992481,0,0.413309857121321,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.38761883429014,0,0.286230899510962,0.026507053557416,0,0,0.00856697816247713,0,0,0,0,0,0
BNB,0,0.246432606995537,0,0.0407923182852341,0,0,0,0.152667742004915,0,0,0,0,0,0.0765805256019349,0,0,0,0,0,0
LTC,0,0,0,0.0694016805380319,0,0.0985527168351667,0,0,0,0.238007267834665,0.236210968645766,0.0133197196677578,0,0.0293245082253942,0,0,0,0,0,0
CRO,0,0,0,0,0,0.0120572652996049,0.0656207168436354,0.29307030017435,0,0,0,0,0,0.00495983607805581,0,0,0.0121161316023727,0,0,0
BSV,0,0,0,2.16840434497101e-19,0,0.270559274148708,0,0.292735356322114,0,0,0.157320604944332,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.00197086756494526,0,0.434522244694227,0,0.164007810319001,0,0.0505547916919817,0,0.095840866311283,0,0.0784363437512493,0.0388290104566853,0,0,0,0,0
ADA,0,0.345796307335631,0,0.147687206515207,0,0,0,0.0476552772658612,0,0,0.044268623339032,0,0,0.0668325830849097,0,0,0,0,0,0
TRX,0,0.179612861978182,0,0.0148608862522038,0,0,0,0,0,0,0.247003468868329,0.149615338152395,0,0.156447978857408,0,0,0,0,0,0
XTZ,0,0.018285658248692,0,0.258792453867695,0,0,0,0,0,0.0366177438330815,0,0.0744543022473123,0,0,0.392131628412997,0,0,0,0,0
XLM,0,0,0,0.0483076639197885,0,0,0.0588592778868929,0,0,0,0.0889059373658765,0.249298488359271,0,0.145038410475488,0,0,0,0,0,0
BV010082.INDEX,0.0250465504384367,0,0,0,0.013094059339251,0,0,0,0,0,-0.0261754434330719,0,0,0,-0.0157820704046681,0,-0.0266231502546853,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0.0854255483772895,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00973300208846258,0,-0.0200473542006506,0.00167263767542995,0,0,0,0,2.16840434497101e-19,0,0.0106006426508972,0,0,0.00705672688021592,0,0,0.00439867641963041
SPX.INDEX,0,0,0,0,0.00687882738249206,0,-0.023484709285974,0,0,-0.00229591028488152,0,0,0.00779241520429433,0,0,0,-0.0141930189424637,0,0,-0.0879950924995385
VIX.INDEX,0,0,0,0.00142996118796728,0.0308509920142034,8.67361737988404e-19,0,0,0,0,0,-0.0790933037182025,0.233326658873962,0.00065564015278095,-0.0796851522911094,0,0.0444271963986942,0,-1.78239768445188,0
