,BTC,ETH,XRP,LINK,BCH,LTC,BSV,EOS,ADA,BNB,CRO,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.126701100446781,0,0,0,0,0.103157203547934,0.0503953544474304,0,0,0.00827802899553803,0.0292872316708065,0,0,0,0,0,0,0,0.0178238165725008
ETH,0,0,0,0.0594720829618326,0,0,0.195222515049698,0,0,0.136668811434893,0,0.0188821796104402,0,0.0622959152486776,0,0,0.0474844361148379,0,0,0
XRP,0,0.054218615028108,0,-3.46944695195361e-18,0.147966625393974,0.205083004265295,0.115633937972288,0,0,0,0,0,0.0578529691103999,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0.228274420551855,0,0,0.437923769206919,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.283732291446793,0.331494113240197,0.041670500608639,0,0,0,0.00475130694311921,0,0,0,0,0,0,0,0
LTC,0,0.0205734905447908,0,0,0.386132655970775,0,0.0567505518407911,0.138347844014746,0.031407140188826,0,0,0.0248903148559303,0,0,0,0,0,0,0,0
BSV,0,0.146536035160835,0,0,0.480204864138231,0.0697894050120783,0,0.19410614829185,0,0,0,0,0,0,0,0,0.0168173708626022,0,0,0
EOS,0,0,0,0,0.282509949963403,0.0848217399250829,0.118916593326131,0,0,0,0,0,0.0269742571614908,0.101843957222516,0,0,0,0,0,0
ADA,0,0.185561203124337,0,0.148160379259528,0.112137114846968,0,0,0,0,0.0263721525057397,0,0.0722308716977353,0,0.015193109742135,0,0,0,0,0,0
BNB,0,0.200869140278944,0,0.00361168809519313,0,0.0983497243207719,0.0504917789368214,0,0.0669111338095562,0,0,0.0619933752482436,0,0,0,0,0,0,0,0
CRO,0.240387490385687,0,0,0,0,0,0.142208421730643,0.050238066821608,0,0,0,0.0337078723834632,0.00197875828858139,0.0599479036482213,0,0,0.104809245551441,0,0,0
XTZ,0,0,0,0.350556211721503,0,0,0,0,0.0704729236037356,0.123852891166296,0,0,0.156836610079997,0,0.0558479783755049,0,0,0,0,0
XLM,0,0,0,0.0424020412234587,0,0,0,0,0.220452967017156,0,0,0.18118988213201,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.0533570914377777,0.219645687283322,0.0339789866915467,0.0770972638968012,0,0,0,0.193971176822816,0,0,0,0,0,0,0
XMR,0,0.209583004224092,0,8.67361737988404e-19,0.207777089906607,0,0,0,0.0377766000640011,0.000986099290727932,0,0.0665953978283951,0,0,0,0,0,0,0,-0.0632691511512221
BV010082.INDEX,0,0,0,0.0190868412008038,0,0,0,0,0,0,0,0.0154169391924113,0,0,0,0,-0.0162353848684813,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.0349687047222652,0,0.235451183340976,-0.0165881636331073,0.101992931867126,0,0,0,0,0,0,-0.0270728008510619
DXY.INDEX,0.0161002803323752,0.00635118165296742,0,0,-0.025207698310223,0,0,-0.00423230341175299,0,0,0.0426330547046706,0.0139160453653833,0,0,-0.0340130267101764,0,0.000218723183965118,0,0,0.00931898684254302
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00260756215935742,0,0,0,0,-0.00699236223649237,0,0,-0.148843887273465
VIX.INDEX,0,0,0,0,0,0,0,0,-0.0697830647043623,0.101249219133436,0,0,-0.0959167389052803,0,0,0,0,0,-3.23344524678875,0
